first_team,second_team,stadium,winner
Sunrisers Hyderabad , Kings XI Punjab,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad 
Gujarat Lions , Royal Challengers Bangalore,"Saurashtra Cricket Association Stadium, Rajkot",Royal Challengers Bangalore 
Sunrisers Hyderabad , Delhi Daredevils,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad 
Kings XI Punjab , Mumbai Indians,"Holkar Cricket Stadium, Indore",Mumbai Indians 
Kolkata Knight Riders , Gujarat Lions,"Eden Gardens, Kolkata",Gujarat Lions 
Rising Pune Supergiant , Sunrisers Hyderabad,"Maharashtra Cricket Association Stadium, Pune",Rising Pune Supergiant 
Mumbai Indians , Delhi Daredevils,"Wankhede Stadium, Mumbai",Mumbai Indians 
Gujarat Lions , Kings XI Punjab,"Saurashtra Cricket Association Stadium, Rajkot",Kings XI Punjab 
Kolkata Knight Riders , Royal Challengers Bangalore,"Eden Gardens, Kolkata",Kolkata Knight Riders 
Mumbai Indians , Rising Pune Supergiant,"Wankhede Stadium, Mumbai",Rising Pune Supergiant 
Royal Challengers Bangalore , Sunrisers Hyderabad,"M.Chinnaswamy Stadium, Bengaluru",Match abandoned without a ball being bowled
Rising Pune Supergiant , Kolkata Knight Riders,"Maharashtra Cricket Association Stadium, Pune",Kolkata Knight Riders 
Royal Challengers Bangalore , Gujarat Lions,"M.Chinnaswamy Stadium, Bengaluru",Gujarat Lions 
Kolkata Knight Riders , Delhi Daredevils,"Eden Gardens, Kolkata",Kolkata Knight Riders 
Kings XI Punjab , Sunrisers Hyderabad,"Punjab Cricket Association Stadium, Mohali",Sunrisers Hyderabad 
Rising Pune Supergiant , Royal Challengers Bangalore,"Maharashtra Cricket Association Stadium, Pune",Rising Pune Supergiant 
Gujarat Lions , Mumbai Indians,"Saurashtra Cricket Association Stadium, Rajkot",Match tied (Mumbai Indians 
Kings XI Punjab , Delhi Daredevils,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab 
Sunrisers Hyderabad , Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad 
Mumbai Indians , Royal Challengers Bangalore,"Wankhede Stadium, Mumbai",Mumbai Indians 
Rising Pune Supergiant , Gujarat Lions,"Maharashtra Cricket Association Stadium, Pune",Rising Pune Supergiant 
Delhi Daredevils , Sunrisers Hyderabad,"Feroz Shah Kotla, Delhi",Delhi Daredevils 
Kolkata Knight Riders , Rising Pune Supergiant,"Eden Gardens, Kolkata",Rising Pune Supergiant 
Delhi Daredevils , Gujarat Lions,"Feroz Shah Kotla, Delhi",Delhi Daredevils 
Royal Challengers Bangalore , Kings XI Punjab,"M.Chinnaswamy Stadium, Bengaluru",Kings XI Punjab 
Sunrisers Hyderabad , Rising Pune Supergiant,"Rajiv Gandhi International Stadium, Hyderabad",Rising Pune Supergiant 
Delhi Daredevils , Mumbai Indians,"Feroz Shah Kotla, Delhi",Mumbai Indians 
Royal Challengers Bangalore , Kolkata Knight Riders,"M.Chinnaswamy Stadium, Bengaluru",Kolkata Knight Riders 
Kings XI Punjab , Gujarat Lions,"Punjab Cricket Association Stadium, Mohali",Gujarat Lions 
Sunrisers Hyderabad , Mumbai Indians,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad 
Kings XI Punjab , Kolkata Knight Riders,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab 
Gujarat Lions , Delhi Daredevils,"Green Park, Kanpur",Delhi Daredevils 
Mumbai Indians , Kings XI Punjab,"Wankhede Stadium, Mumbai",Kings XI Punjab 
Delhi Daredevils , Rising Pune Supergiant,"Feroz Shah Kotla, Delhi",Delhi Daredevils 
Gujarat Lions , Sunrisers Hyderabad,"Green Park, Kanpur",Sunrisers Hyderabad 
Kolkata Knight Riders , Mumbai Indians,"Eden Gardens, Kolkata",Mumbai Indians 
Rising Pune Supergiant , Kings XI Punjab,"Maharashtra Cricket Association Stadium, Pune",Rising Pune Supergiant 
Delhi Daredevils , Royal Challengers Bangalore,"Feroz Shah Kotla, Delhi",Royal Challengers Bangalore 
Mumbai Indians , Rising Pune Supergiant,"Wankhede Stadium, Mumbai",Rising Pune Supergiant 
Sunrisers Hyderabad , Kolkata Knight Riders,"M.Chinnaswamy Stadium, Bengaluru",Kolkata Knight Riders 
Mumbai Indians , Kolkata Knight Riders,"M.Chinnaswamy Stadium, Bengaluru",Mumbai Indians 
Rising Pune Supergiant , Mumbai Indians,"Rajiv Gandhi International Stadium, Hyderabad",Mumbai Indians 
