first_team,second_team,stadium,winner
Kochi Tuskers Kerala , Deccan Chargers,"Nehru Stadium, Kochi",Deccan Chargers 
Delhi Daredevils , Kolkata Knight Riders,"Feroz Shah Kotla, Delhi",Kolkata Knight Riders 
Rajasthan Royals , Mumbai Indians,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals 
Royal Challengers Bangalore , Pune Warriors,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore 
Kochi Tuskers Kerala , Delhi Daredevils,"Nehru Stadium, Kochi",Delhi Daredevils 
Kolkata Knight Riders , Kings XI Punjab,"Eden Gardens, Kolkata",Kolkata Knight Riders 
Rajasthan Royals , Pune Warriors,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals 
Chennai Super Kings , Deccan Chargers,"MA Chidambaram Stadium, Chennai",Chennai Super Kings 
Mumbai Indians , Kings XI Punjab,"Wankhede Stadium, Mumbai",Mumbai Indians 
Delhi Daredevils , Kochi Tuskers Kerala,"Feroz Shah Kotla, Delhi",Kochi Tuskers Kerala 
Deccan Chargers , Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Hyderabad",Kolkata Knight Riders 
Chennai Super Kings , Rajasthan Royals,"MA Chidambaram Stadium, Chennai",Chennai Super Kings 
Pune Warriors , Mumbai Indians,"Dr DY Patil Sports Academy, Mumbai",Mumbai Indians 
Kochi Tuskers Kerala , Kolkata Knight Riders,"Nehru Stadium, Kochi",Kochi Tuskers Kerala 
Deccan Chargers , Delhi Daredevils,"Rajiv Gandhi International Stadium, Hyderabad",Delhi Daredevils 
Royal Challengers Bangalore , Kings XI Punjab,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore 
Kolkata Knight Riders , Chennai Super Kings,"Eden Gardens, Kolkata",Kolkata Knight Riders 
Mumbai Indians , Delhi Daredevils,"Wankhede Stadium, Mumbai",Mumbai Indians 
Royal Challengers Bangalore , Kochi Tuskers Kerala,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore 
Kings XI Punjab , Pune Warriors,"Punjab Cricket Association Stadium, Mohali",Pune Warriors 
Rajasthan Royals , Chennai Super Kings,"Sawai Mansingh Stadium, Jaipur",Chennai Super Kings 
Deccan Chargers , Pune Warriors,"Rajiv Gandhi International Stadium, Hyderabad",Pune Warriors 
Kings XI Punjab , Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab 
Rajasthan Royals , Royal Challengers Bangalore,"Sawai Mansingh Stadium, Jaipur",Royal Challengers Bangalore 
Chennai Super Kings , Delhi Daredevils,"MA Chidambaram Stadium, Chennai",Chennai Super Kings 
Kochi Tuskers Kerala , Kings XI Punjab,"Holkar Cricket Stadium, Indore",Kings XI Punjab 
Royal Challengers Bangalore , Kolkata Knight Riders,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore 
Mumbai Indians , Deccan Chargers,"Wankhede Stadium, Mumbai",Deccan Chargers 
Kings XI Punjab , Delhi Daredevils,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Kings XI Punjab 
Kochi Tuskers Kerala , Rajasthan Royals,"Holkar Cricket Stadium, Indore",Kochi Tuskers Kerala 
Pune Warriors , Deccan Chargers,"Dr DY Patil Sports Academy, Mumbai",Deccan Chargers 
Kings XI Punjab , Royal Challengers Bangalore,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Kings XI Punjab 
Chennai Super Kings , Kochi Tuskers Kerala,"MA Chidambaram Stadium, Chennai",Chennai Super Kings 
Pune Warriors , Kolkata Knight Riders,"Dr DY Patil Sports Academy, Mumbai",Kolkata Knight Riders 
Mumbai Indians , Rajasthan Royals,"Wankhede Stadium, Mumbai",Rajasthan Royals 
Kings XI Punjab , Deccan Chargers,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Deccan Chargers 
Delhi Daredevils , Pune Warriors,"Feroz Shah Kotla, Delhi",Match abandoned
Royal Challengers Bangalore , Chennai Super Kings,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore 
Kolkata Knight Riders , Mumbai Indians,"Eden Gardens, Kolkata",Mumbai Indians 
Royal Challengers Bangalore , Chennai Super Kings,"Wankhede Stadium, Mumbai",Chennai Super Kings 
Mumbai Indians , Kolkata Knight Riders,"Wankhede Stadium, Mumbai",Mumbai Indians 
Mumbai Indians , Royal Challengers Bangalore,"MA Chidambaram Stadium, Chennai",Royal Challengers Bangalore 
Chennai Super Kings , Royal Challengers Bangalore,"MA Chidambaram Stadium, Chennai",Chennai Super Kings 
