first_team,second_team,stadium,winner
Mumbai Indians , Rajasthan Royals,"Dr DY Patil Sports Academy, Mumbai",Mumbai Indians 
Delhi Daredevils , Chennai Super Kings,"Feroz Shah Kotla, Delhi",Chennai Super Kings 
Kolkata Knight Riders , Royal Challengers Bangalore,"Eden Gardens, Kolkata",Kolkata Knight Riders 
Rajasthan Royals , Deccan Chargers,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals 
Chennai Super Kings , Kings XI Punjab,"MA Chidambaram Stadium, Chennai",Chennai Super Kings 
Deccan Chargers , Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Hyderabad",Kolkata Knight Riders 
Rajasthan Royals , Delhi Daredevils,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals 
Kings XI Punjab , Royal Challengers Bangalore,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab 
Kolkata Knight Riders , Delhi Daredevils,"Eden Gardens, Kolkata",Kolkata Knight Riders 
Mumbai Indians , Chennai Super Kings,"Wankhede Stadium, Mumbai",Mumbai Indians 
Delhi Daredevils , Deccan Chargers,"Feroz Shah Kotla, Delhi",Delhi Daredevils 
Mumbai Indians , Kolkata Knight Riders,"Wankhede Stadium, Mumbai",Mumbai Indians 
Rajasthan Royals , Royal Challengers Bangalore,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals 
Delhi Daredevils , Kings XI Punjab,"Feroz Shah Kotla, Delhi",Kings XI Punjab 
Kolkata Knight Riders , Chennai Super Kings,"Eden Gardens, Kolkata",Chennai Super Kings 
Deccan Chargers , Mumbai Indians,"Rajiv Gandhi International Stadium, Hyderabad",Mumbai Indians 
Royal Challengers Bangalore , Delhi Daredevils,"M.Chinnaswamy Stadium, Bengaluru",Delhi Daredevils 
Kolkata Knight Riders , Rajasthan Royals,"Eden Gardens, Kolkata",Rajasthan Royals 
Mumbai Indians , Kings XI Punjab,"Wankhede Stadium, Mumbai",Kings XI Punjab 
Chennai Super Kings , Royal Challengers Bangalore,"MA Chidambaram Stadium, Chennai",Royal Challengers Bangalore 
Delhi Daredevils , Kolkata Knight Riders,"Feroz Shah Kotla, Delhi",Match abandoned without a ball bowled
Kings XI Punjab , Deccan Chargers,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab 
Chennai Super Kings , Rajasthan Royals,"MA Chidambaram Stadium, Chennai",Rajasthan Royals 
Delhi Daredevils , Mumbai Indians,"Feroz Shah Kotla, Delhi",Delhi Daredevils 
Deccan Chargers , Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Hyderabad",Royal Challengers Bangalore 
Kolkata Knight Riders , Kings XI Punjab,"Eden Gardens, Kolkata",Kolkata Knight Riders 
Rajasthan Royals , Mumbai Indians,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals 
Deccan Chargers , Chennai Super Kings,"Rajiv Gandhi International Stadium, Hyderabad",Chennai Super Kings 
Royal Challengers Bangalore , Mumbai Indians,"M.Chinnaswamy Stadium, Bengaluru",Mumbai Indians 
Kings XI Punjab , Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab 
Delhi Daredevils , Rajasthan Royals,"Wankhede Stadium, Mumbai",Rajasthan Royals 
Chennai Super Kings , Kings XI Punjab,"Wankhede Stadium, Mumbai",Chennai Super Kings 
Chennai Super Kings , Rajasthan Royals,"Dr DY Patil Sports Academy, Mumbai",Rajasthan Royals 
