first_team,second_team,stadium,winner
Delhi Daredevils , Kings XI Punjab,"Feroz Shah Kotla, Delhi",Delhi Daredevils 
Mumbai Indians , Rajasthan Royals,"Wankhede Stadium, Mumbai",Mumbai Indians 
Royal Challengers Bangalore , Kolkata Knight Riders,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore 
Sunrisers Hyderabad , Chennai Super Kings,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad 
Kings XI Punjab , Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",Mumbai Indians 
Rajasthan Royals , Delhi Daredevils,"Brabourne Stadium, Mumbai",Rajasthan Royals 
Chennai Super Kings , Royal Challengers Bangalore,"MA Chidambaram Stadium, Chennai",Chennai Super Kings 
Kolkata Knight Riders , Sunrisers Hyderabad,"Eden Gardens, Kolkata",Kolkata Knight Riders 
Mumbai Indians , Delhi Daredevils,"Wankhede Stadium, Mumbai",Mumbai Indians 
Royal Challengers Bangalore , Kings XI Punjab,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore 
Rajasthan Royals , Sunrisers Hyderabad,"Brabourne Stadium, Mumbai",Sunrisers Hyderabad 
Kolkata Knight Riders , Delhi Daredevils,"Eden Gardens, Kolkata",Kolkata Knight Riders 
Chennai Super Kings , Mumbai Indians,"MA Chidambaram Stadium, Chennai",Mumbai Indians 
Kolkata Knight Riders , Kings XI Punjab,"Eden Gardens, Kolkata",Kolkata Knight Riders 
Delhi Daredevils , Sunrisers Hyderabad,"Shaheed Veer Narayan Singh International Stadium, Raipur",Sunrisers Hyderabad 
Mumbai Indians , Royal Challengers Bangalore,"Wankhede Stadium, Mumbai",Royal Challengers Bangalore 
Chennai Super Kings , Rajasthan Royals,"MA Chidambaram Stadium, Chennai",Chennai Super Kings 
Sunrisers Hyderabad , Kings XI Punjab,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad 
Delhi Daredevils , Chennai Super Kings,"Shaheed Veer Narayan Singh International Stadium, Raipur",Delhi Daredevils 
Kings XI Punjab , Royal Challengers Bangalore,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab 
Mumbai Indians , Kolkata Knight Riders,"Wankhede Stadium, Mumbai",Mumbai Indians 
Sunrisers Hyderabad , Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Hyderabad",Royal Challengers Bangalore 
Kings XI Punjab , Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings 
Rajasthan Royals , Kolkata Knight Riders,"Brabourne Stadium, Mumbai",Rajasthan Royals 
Royal Challengers Bangalore , Delhi Daredevils,"M.Chinnaswamy Stadium, Bengaluru",No result
Sunrisers Hyderabad , Mumbai Indians,"Rajiv Gandhi International Stadium, Hyderabad",Mumbai Indians 
Chennai Super Kings , Mumbai Indians,"Wankhede Stadium, Mumbai",Mumbai Indians 
Royal Challengers Bangalore , Rajasthan Royals,"Maharashtra Cricket Association Stadium, Pune",Royal Challengers Bangalore 
Chennai Super Kings , Royal Challengers Bangalore,"JSCA International Stadium Complex, Ranchi",Chennai Super Kings 
Mumbai Indians , Chennai Super Kings,"Eden Gardens, Kolkata",Mumbai Indians 
