first_team,second_team,stadium,winner
Chennai Super Kings , Mumbai Indians,"MA Chidambaram Stadium, Chennai",Chennai Super Kings 
Rajasthan Royals , Kings XI Punjab,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals 
Kolkata Knight Riders , Delhi Daredevils,"Eden Gardens, Kolkata",Kolkata Knight Riders 
Royal Challengers Bangalore , Deccan Chargers,"M.Chinnaswamy Stadium, Bengaluru",Deccan Chargers 
Kings XI Punjab , Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab 
Deccan Chargers , Chennai Super Kings,"Vidarbha Cricket Association Stadium, Nagpur",Deccan Chargers 
Royal Challengers Bangalore , Kolkata Knight Riders,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore 
Delhi Daredevils , Kings XI Punjab,"Feroz Shah Kotla, Delhi",Kings XI Punjab 
Rajasthan Royals , Mumbai Indians,"Sawai Mansingh Stadium, Jaipur",Mumbai Indians 
Deccan Chargers , Royal Challengers Bangalore,"Vidarbha Cricket Association Stadium, Nagpur",Deccan Chargers 
Mumbai Indians , Delhi Daredevils,"Brabourne Stadium, Mumbai",Mumbai Indians 
Chennai Super Kings , Kolkata Knight Riders,"MA Chidambaram Stadium, Chennai",Chennai Super Kings 
Rajasthan Royals , Royal Challengers Bangalore,"Sawai Mansingh Stadium, Jaipur",Royal Challengers Bangalore 
Chennai Super Kings , Delhi Daredevils,"MA Chidambaram Stadium, Chennai",Delhi Daredevils 
Kings XI Punjab , Deccan Chargers,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Deccan Chargers 
Royal Challengers Bangalore , Mumbai Indians,"M.Chinnaswamy Stadium, Bengaluru",Mumbai Indians 
Kolkata Knight Riders , Rajasthan Royals,"Eden Gardens, Kolkata",Kolkata Knight Riders 
Kings XI Punjab , Chennai Super Kings,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Chennai Super Kings 
Delhi Daredevils , Deccan Chargers,"Feroz Shah Kotla, Delhi",Deccan Chargers 
Kolkata Knight Riders , Mumbai Indians,"Eden Gardens, Kolkata",Kolkata Knight Riders 
Royal Challengers Bangalore , Mumbai Indians,"Dr DY Patil Sports Academy, Mumbai",Mumbai Indians 
Chennai Super Kings , Deccan Chargers,"Dr DY Patil Sports Academy, Mumbai",Chennai Super Kings 
Royal Challengers Bangalore , Deccan Chargers,"Dr DY Patil Sports Academy, Mumbai",Royal Challengers Bangalore 
Chennai Super Kings , Mumbai Indians,"Dr DY Patil Sports Academy, Mumbai",Chennai Super Kings 
