first_team,second_team,stadium,winner
Mumbai Indians , Kolkata Knight Riders,"Wankhede Stadium, Mumbai",Mumbai Indians 
Sunrisers Hyderabad , Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Hyderabad",Royal Challengers Bangalore 
Kings XI Punjab , Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings 
Rajasthan Royals , Kolkata Knight Riders,"Brabourne Stadium, Mumbai",Rajasthan Royals 
Royal Challengers Bangalore , Delhi Daredevils,"M.Chinnaswamy Stadium, Bengaluru",No result
Sunrisers Hyderabad , Mumbai Indians,"Rajiv Gandhi International Stadium, Hyderabad",Mumbai Indians 
Chennai Super Kings , Mumbai Indians,"Wankhede Stadium, Mumbai",Mumbai Indians 
Royal Challengers Bangalore , Rajasthan Royals,"Maharashtra Cricket Association Stadium, Pune",Royal Challengers Bangalore 
Chennai Super Kings , Royal Challengers Bangalore,"JSCA International Stadium Complex, Ranchi",Chennai Super Kings 
Mumbai Indians , Chennai Super Kings,"Eden Gardens, Kolkata",Mumbai Indians 
Mumbai Indians , Rising Pune Supergiant,"Wankhede Stadium, Mumbai",Rising Pune Supergiants 
Kolkata Knight Riders , Delhi Daredevils,"Eden Gardens, Kolkata",Kolkata Knight Riders 
Kings XI Punjab , Gujarat Lions,"Punjab Cricket Association Stadium, Mohali",Gujarat Lions 
Royal Challengers Bangalore , Sunrisers Hyderabad,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore 
Kolkata Knight Riders , Mumbai Indians,"Eden Gardens, Kolkata",Mumbai Indians 
Gujarat Lions , Rising Pune Supergiant,"Saurashtra Cricket Association Stadium, Rajkot",Gujarat Lions 
Delhi Daredevils , Kings XI Punjab,"Feroz Shah Kotla, Delhi",Delhi Daredevils 
Sunrisers Hyderabad , Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Hyderabad",Kolkata Knight Riders 
Mumbai Indians , Gujarat Lions,"Wankhede Stadium, Mumbai",Gujarat Lions 
Kings XI Punjab , Rising Pune Supergiant,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab 
Royal Challengers Bangalore , Delhi Daredevils,"M.Chinnaswamy Stadium, Bengaluru",Delhi Daredevils 
Sunrisers Hyderabad , Mumbai Indians,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad 
Kings XI Punjab , Kolkata Knight Riders,"Punjab Cricket Association Stadium, Mohali",Kolkata Knight Riders 
Mumbai Indians , Royal Challengers Bangalore,"Wankhede Stadium, Mumbai",Mumbai Indians 
Gujarat Lions , Sunrisers Hyderabad,"Saurashtra Cricket Association Stadium, Rajkot",Sunrisers Hyderabad 
Rising Pune Supergiant , Royal Challengers Bangalore,"Maharashtra Cricket Association Stadium, Pune",Royal Challengers Bangalore 
Delhi Daredevils , Mumbai Indians,"Feroz Shah Kotla, Delhi",Delhi Daredevils 
Sunrisers Hyderabad , Kings XI Punjab,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad 
Gujarat Lions , Royal Challengers Bangalore,"Saurashtra Cricket Association Stadium, Rajkot",Gujarat Lions 
Rising Pune Supergiant , Kolkata Knight Riders,"Maharashtra Cricket Association Stadium, Pune",Kolkata Knight Riders 
Kings XI Punjab , Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",Mumbai Indians 
Sunrisers Hyderabad , Rising Pune Supergiant,"Rajiv Gandhi International Stadium, Hyderabad",Rising Pune Supergiants 
Delhi Daredevils , Gujarat Lions,"Feroz Shah Kotla, Delhi",Gujarat Lions 
Mumbai Indians , Kolkata Knight Riders,"Wankhede Stadium, Mumbai",Mumbai Indians 
Rising Pune Supergiant , Gujarat Lions,"Maharashtra Cricket Association Stadium, Pune",Gujarat Lions 
Delhi Daredevils , Kolkata Knight Riders,"Feroz Shah Kotla, Delhi",Delhi Daredevils 
Sunrisers Hyderabad , Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad 
Gujarat Lions , Kings XI Punjab,"Saurashtra Cricket Association Stadium, Rajkot",Kings XI Punjab 
Rising Pune Supergiant , Mumbai Indians,"Maharashtra Cricket Association Stadium, Pune",Mumbai Indians 
Royal Challengers Bangalore , Kolkata Knight Riders,"M.Chinnaswamy Stadium, Bengaluru",Kolkata Knight Riders 
Gujarat Lions , Delhi Daredevils,"Saurashtra Cricket Association Stadium, Rajkot",Delhi Daredevils 
Kolkata Knight Riders , Kings XI Punjab,"Eden Gardens, Kolkata",Kolkata Knight Riders 
Delhi Daredevils , Rising Pune Supergiant,"Feroz Shah Kotla, Delhi",Rising Pune Supergiants 
Sunrisers Hyderabad , Gujarat Lions,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad 
Royal Challengers Bangalore , Rising Pune Supergiant,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore 
Kings XI Punjab , Delhi Daredevils,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab 
Mumbai Indians , Sunrisers Hyderabad,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Sunrisers Hyderabad 
Kolkata Knight Riders , Gujarat Lions,"Eden Gardens, Kolkata",Gujarat Lions 
Kings XI Punjab , Royal Challengers Bangalore,"Punjab Cricket Association Stadium, Mohali",Royal Challengers Bangalore 
Rising Pune Supergiant , Sunrisers Hyderabad,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Sunrisers Hyderabad 
Royal Challengers Bangalore , Mumbai Indians,"M.Chinnaswamy Stadium, Bengaluru",Mumbai Indians 
Sunrisers Hyderabad , Delhi Daredevils,"Rajiv Gandhi International Stadium, Hyderabad",Delhi Daredevils 
Mumbai Indians , Kings XI Punjab,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Kings XI Punjab 
Royal Challengers Bangalore , Gujarat Lions,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore 
Kolkata Knight Riders , Rising Pune Supergiant,"Eden Gardens, Kolkata",Kolkata Knight Riders 
Kings XI Punjab , Sunrisers Hyderabad,"Punjab Cricket Association Stadium, Mohali",Sunrisers Hyderabad 
Mumbai Indians , Delhi Daredevils,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Mumbai Indians 
Kolkata Knight Riders , Royal Challengers Bangalore,"Eden Gardens, Kolkata",Royal Challengers Bangalore 
Rising Pune Supergiant , Delhi Daredevils,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Rising Pune Supergiants 
Royal Challengers Bangalore , Kings XI Punjab,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore 
Gujarat Lions , Kolkata Knight Riders,"Green Park, Kanpur",Gujarat Lions 
Delhi Daredevils , Sunrisers Hyderabad,"Shaheed Veer Narayan Singh International Stadium, Raipur",Delhi Daredevils 
Rising Pune Supergiant , Kings XI Punjab,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",Rising Pune Supergiants 
Gujarat Lions , Mumbai Indians,"Green Park, Kanpur",Gujarat Lions 
Kolkata Knight Riders , Sunrisers Hyderabad,"Eden Gardens, Kolkata",Kolkata Knight Riders 
Delhi Daredevils , Royal Challengers Bangalore,"Shaheed Veer Narayan Singh International Stadium, Raipur",Royal Challengers Bangalore 
Gujarat Lions , Royal Challengers Bangalore,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore 
Sunrisers Hyderabad , Kolkata Knight Riders,"Feroz Shah Kotla, Delhi",Sunrisers Hyderabad 
Gujarat Lions , Sunrisers Hyderabad,"Feroz Shah Kotla, Delhi",Sunrisers Hyderabad 
Royal Challengers Bangalore , Sunrisers Hyderabad,"M.Chinnaswamy Stadium, Bengaluru",Sunrisers Hyderabad 
Sunrisers Hyderabad , Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad 
Rising Pune Supergiant , Mumbai Indians,"Maharashtra Cricket Association Stadium, Pune",Rising Pune Supergiant 
Gujarat Lions , Kolkata Knight Riders,"Saurashtra Cricket Association Stadium, Rajkot",Kolkata Knight Riders 
Kings XI Punjab , Rising Pune Supergiant,"Holkar Cricket Stadium, Indore",Kings XI Punjab 
Royal Challengers Bangalore , Delhi Daredevils,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore 
Sunrisers Hyderabad , Gujarat Lions,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad 
Mumbai Indians , Kolkata Knight Riders,"Wankhede Stadium, Mumbai",Mumbai Indians 
Kings XI Punjab , Royal Challengers Bangalore,"Holkar Cricket Stadium, Indore",Kings XI Punjab 
Rising Pune Supergiant , Delhi Daredevils,"Maharashtra Cricket Association Stadium, Pune",Delhi Daredevils 
Mumbai Indians , Sunrisers Hyderabad,"Wankhede Stadium, Mumbai",Mumbai Indians 
Kolkata Knight Riders , Kings XI Punjab,"Eden Gardens, Kolkata",Kolkata Knight Riders 
Royal Challengers Bangalore , Mumbai Indians,"M.Chinnaswamy Stadium, Bengaluru",Mumbai Indians 
Gujarat Lions , Rising Pune Supergiant,"Saurashtra Cricket Association Stadium, Rajkot",Gujarat Lions 
Kolkata Knight Riders , Sunrisers Hyderabad,"Eden Gardens, Kolkata",Kolkata Knight Riders 
Delhi Daredevils , Kings XI Punjab,"Feroz Shah Kotla, Delhi",Delhi Daredevils 
Mumbai Indians , Gujarat Lions,"Wankhede Stadium, Mumbai",Mumbai Indians 
Royal Challengers Bangalore , Rising Pune Supergiant,"M.Chinnaswamy Stadium, Bengaluru",Rising Pune Supergiant 
Delhi Daredevils , Kolkata Knight Riders,"Feroz Shah Kotla, Delhi",Kolkata Knight Riders 
Sunrisers Hyderabad , Kings XI Punjab,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad 
Gujarat Lions , Royal Challengers Bangalore,"Saurashtra Cricket Association Stadium, Rajkot",Royal Challengers Bangalore 
Sunrisers Hyderabad , Delhi Daredevils,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad 
Kings XI Punjab , Mumbai Indians,"Holkar Cricket Stadium, Indore",Mumbai Indians 
Kolkata Knight Riders , Gujarat Lions,"Eden Gardens, Kolkata",Gujarat Lions 
Rising Pune Supergiant , Sunrisers Hyderabad,"Maharashtra Cricket Association Stadium, Pune",Rising Pune Supergiant 
Mumbai Indians , Delhi Daredevils,"Wankhede Stadium, Mumbai",Mumbai Indians 
Gujarat Lions , Kings XI Punjab,"Saurashtra Cricket Association Stadium, Rajkot",Kings XI Punjab 
Kolkata Knight Riders , Royal Challengers Bangalore,"Eden Gardens, Kolkata",Kolkata Knight Riders 
Mumbai Indians , Rising Pune Supergiant,"Wankhede Stadium, Mumbai",Rising Pune Supergiant 
Royal Challengers Bangalore , Sunrisers Hyderabad,"M.Chinnaswamy Stadium, Bengaluru",Match abandoned without a ball being bowled
Rising Pune Supergiant , Kolkata Knight Riders,"Maharashtra Cricket Association Stadium, Pune",Kolkata Knight Riders 
Royal Challengers Bangalore , Gujarat Lions,"M.Chinnaswamy Stadium, Bengaluru",Gujarat Lions 
Kolkata Knight Riders , Delhi Daredevils,"Eden Gardens, Kolkata",Kolkata Knight Riders 
Kings XI Punjab , Sunrisers Hyderabad,"Punjab Cricket Association Stadium, Mohali",Sunrisers Hyderabad 
Rising Pune Supergiant , Royal Challengers Bangalore,"Maharashtra Cricket Association Stadium, Pune",Rising Pune Supergiant 
Gujarat Lions , Mumbai Indians,"Saurashtra Cricket Association Stadium, Rajkot",Match tied (Mumbai Indians 
Kings XI Punjab , Delhi Daredevils,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab 
Sunrisers Hyderabad , Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad 
Mumbai Indians , Royal Challengers Bangalore,"Wankhede Stadium, Mumbai",Mumbai Indians 
Rising Pune Supergiant , Gujarat Lions,"Maharashtra Cricket Association Stadium, Pune",Rising Pune Supergiant 
Delhi Daredevils , Sunrisers Hyderabad,"Feroz Shah Kotla, Delhi",Delhi Daredevils 
Kolkata Knight Riders , Rising Pune Supergiant,"Eden Gardens, Kolkata",Rising Pune Supergiant 
Delhi Daredevils , Gujarat Lions,"Feroz Shah Kotla, Delhi",Delhi Daredevils 
Royal Challengers Bangalore , Kings XI Punjab,"M.Chinnaswamy Stadium, Bengaluru",Kings XI Punjab 
Sunrisers Hyderabad , Rising Pune Supergiant,"Rajiv Gandhi International Stadium, Hyderabad",Rising Pune Supergiant 
Delhi Daredevils , Mumbai Indians,"Feroz Shah Kotla, Delhi",Mumbai Indians 
Royal Challengers Bangalore , Kolkata Knight Riders,"M.Chinnaswamy Stadium, Bengaluru",Kolkata Knight Riders 
Kings XI Punjab , Gujarat Lions,"Punjab Cricket Association Stadium, Mohali",Gujarat Lions 
Sunrisers Hyderabad , Mumbai Indians,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad 
Kings XI Punjab , Kolkata Knight Riders,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab 
Gujarat Lions , Delhi Daredevils,"Green Park, Kanpur",Delhi Daredevils 
Mumbai Indians , Kings XI Punjab,"Wankhede Stadium, Mumbai",Kings XI Punjab 
Delhi Daredevils , Rising Pune Supergiant,"Feroz Shah Kotla, Delhi",Delhi Daredevils 
Gujarat Lions , Sunrisers Hyderabad,"Green Park, Kanpur",Sunrisers Hyderabad 
Kolkata Knight Riders , Mumbai Indians,"Eden Gardens, Kolkata",Mumbai Indians 
Rising Pune Supergiant , Kings XI Punjab,"Maharashtra Cricket Association Stadium, Pune",Rising Pune Supergiant 
Delhi Daredevils , Royal Challengers Bangalore,"Feroz Shah Kotla, Delhi",Royal Challengers Bangalore 
Mumbai Indians , Rising Pune Supergiant,"Wankhede Stadium, Mumbai",Rising Pune Supergiant 
Sunrisers Hyderabad , Kolkata Knight Riders,"M.Chinnaswamy Stadium, Bengaluru",Kolkata Knight Riders 
Mumbai Indians , Kolkata Knight Riders,"M.Chinnaswamy Stadium, Bengaluru",Mumbai Indians 
Rising Pune Supergiant , Mumbai Indians,"Rajiv Gandhi International Stadium, Hyderabad",Mumbai Indians 
