first_team,second_team,stadium,winner
Kolkata Knight Riders , Deccan Chargers,"Eden Gardens, Kolkata",Match abandoned without a ball bowled
Kings XI Punjab , Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",Mumbai Indians 
Royal Challengers Bangalore , Chennai Super Kings,"M.Chinnaswamy Stadium, Bengaluru",No result (abandoned with a toss)
Pune Warriors , Deccan Chargers,"Maharashtra Cricket Association Stadium, Pune",Deccan Chargers 
Delhi Daredevils , Mumbai Indians,"Feroz Shah Kotla, Delhi",Delhi Daredevils 
Chennai Super Kings , Kings XI Punjab,"MA Chidambaram Stadium, Chennai",Kings XI Punjab 
Kolkata Knight Riders , Royal Challengers Bangalore,"Eden Gardens, Kolkata",Kolkata Knight Riders 
Delhi Daredevils , Rajasthan Royals,"Feroz Shah Kotla, Delhi",Delhi Daredevils 
Mumbai Indians , Deccan Chargers,"Wankhede Stadium, Mumbai",Mumbai Indians 
Chennai Super Kings , Kolkata Knight Riders,"MA Chidambaram Stadium, Chennai",Kolkata Knight Riders 
Deccan Chargers , Pune Warriors,"Barabati Stadium, Cuttack",Deccan Chargers 
Rajasthan Royals , Delhi Daredevils,"Sawai Mansingh Stadium, Jaipur",Delhi Daredevils 
Royal Challengers Bangalore , Kings XI Punjab,"M.Chinnaswamy Stadium, Bengaluru",Kings XI Punjab 
Pune Warriors , Mumbai Indians,"Maharashtra Cricket Association Stadium, Pune",Mumbai Indians 
Chennai Super Kings , Deccan Chargers,"MA Chidambaram Stadium, Chennai",Chennai Super Kings 
Kolkata Knight Riders , Pune Warriors,"Eden Gardens, Kolkata",Kolkata Knight Riders 
Kings XI Punjab , Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",Rajasthan Royals 
Mumbai Indians , Chennai Super Kings,"Wankhede Stadium, Mumbai",Mumbai Indians 
Royal Challengers Bangalore , Deccan Chargers,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore 
Delhi Daredevils , Kolkata Knight Riders,"Feroz Shah Kotla, Delhi",Kolkata Knight Riders 
Pune Warriors , Rajasthan Royals,"Maharashtra Cricket Association Stadium, Pune",Rajasthan Royals 
Deccan Chargers , Kings XI Punjab,"Rajiv Gandhi International Stadium, Hyderabad",Kings XI Punjab 
Mumbai Indians , Royal Challengers Bangalore,"Wankhede Stadium, Mumbai",Royal Challengers Bangalore 
Deccan Chargers , Delhi Daredevils,"Rajiv Gandhi International Stadium, Hyderabad",Delhi Daredevils 
Rajasthan Royals , Chennai Super Kings,"Sawai Mansingh Stadium, Jaipur",Chennai Super Kings 
Pune Warriors , Royal Challengers Bangalore,"Maharashtra Cricket Association Stadium, Pune",Royal Challengers Bangalore 
Kolkata Knight Riders , Mumbai Indians,"Eden Gardens, Kolkata",Mumbai Indians 
Chennai Super Kings , Delhi Daredevils,"MA Chidambaram Stadium, Chennai",Chennai Super Kings 
Rajasthan Royals , Pune Warriors,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals 
Kings XI Punjab , Deccan Chargers,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab 
Royal Challengers Bangalore , Mumbai Indians,"M.Chinnaswamy Stadium, Bengaluru",Mumbai Indians 
Kolkata Knight Riders , Chennai Super Kings,"Eden Gardens, Kolkata",Chennai Super Kings 
Delhi Daredevils , Kings XI Punjab,"Feroz Shah Kotla, Delhi",Delhi Daredevils 
Mumbai Indians , Kolkata Knight Riders,"Wankhede Stadium, Mumbai",Kolkata Knight Riders 
Kings XI Punjab , Chennai Super Kings,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Kings XI Punjab 
Delhi Daredevils , Royal Challengers Bangalore,"Feroz Shah Kotla, Delhi",Royal Challengers Bangalore 
Deccan Chargers , Rajasthan Royals,"Rajiv Gandhi International Stadium, Hyderabad",Deccan Chargers 
Kings XI Punjab , Delhi Daredevils,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Delhi Daredevils 
Pune Warriors , Kolkata Knight Riders,"Maharashtra Cricket Association Stadium, Pune",Kolkata Knight Riders 
Deccan Chargers , Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Hyderabad",Deccan Chargers 
Rajasthan Royals , Mumbai Indians,"Sawai Mansingh Stadium, Jaipur",Mumbai Indians 
Delhi Daredevils , Kolkata Knight Riders,"Maharashtra Cricket Association Stadium, Pune",Kolkata Knight Riders 
Mumbai Indians , Chennai Super Kings,"M.Chinnaswamy Stadium, Bengaluru",Chennai Super Kings 
Chennai Super Kings , Delhi Daredevils,"MA Chidambaram Stadium, Chennai",Chennai Super Kings 
Chennai Super Kings , Kolkata Knight Riders,"MA Chidambaram Stadium, Chennai",Kolkata Knight Riders 
