first_team,second_team,stadium,winner
Kings XI Punjab , Royal Challengers Bangalore,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab 
Rajasthan Royals , Delhi Daredevils,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals 
Mumbai Indians , Kolkata Knight Riders,"Wankhede Stadium, Mumbai",Mumbai Indians 
Sunrisers Hyderabad , Chennai Super Kings,"Rajiv Gandhi International Stadium, Hyderabad",Chennai Super Kings 
Kings XI Punjab , Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",Rajasthan Royals 
Pune Warriors , Kolkata Knight Riders,"Maharashtra Cricket Association Stadium, Pune",Kolkata Knight Riders 
Delhi Daredevils , Royal Challengers Bangalore,"Feroz Shah Kotla, Delhi",Royal Challengers Bangalore 
Pune Warriors , Mumbai Indians,"Maharashtra Cricket Association Stadium, Pune",Mumbai Indians 
Kings XI Punjab , Sunrisers Hyderabad,"Punjab Cricket Association Stadium, Mohali",Sunrisers Hyderabad 
Kolkata Knight Riders , Royal Challengers Bangalore,"JSCA International Stadium Complex, Ranchi",Kolkata Knight Riders 
Rajasthan Royals , Chennai Super Kings,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals 
Mumbai Indians , Sunrisers Hyderabad,"Wankhede Stadium, Mumbai",Mumbai Indians 
Royal Challengers Bangalore , Kings XI Punjab,"M.Chinnaswamy Stadium, Bengaluru",Kings XI Punjab 
Chennai Super Kings , Delhi Daredevils,"MA Chidambaram Stadium, Chennai",Chennai Super Kings 
Kolkata Knight Riders , Pune Warriors,"JSCA International Stadium Complex, Ranchi",Pune Warriors 
Mumbai Indians , Rajasthan Royals,"Wankhede Stadium, Mumbai",Mumbai Indians 
Kings XI Punjab , Delhi Daredevils,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Kings XI Punjab 
Sunrisers Hyderabad , Rajasthan Royals,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad 
Kings XI Punjab , Mumbai Indians,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Kings XI Punjab 
Royal Challengers Bangalore , Chennai Super Kings,"M.Chinnaswamy Stadium, Bengaluru",Royal Challengers Bangalore 
Pune Warriors , Delhi Daredevils,"Maharashtra Cricket Association Stadium, Pune",Pune Warriors 
Sunrisers Hyderabad , Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad 
Chennai Super Kings , Mumbai Indians,"Feroz Shah Kotla, Delhi",Chennai Super Kings 
Rajasthan Royals , Sunrisers Hyderabad,"Feroz Shah Kotla, Delhi",Rajasthan Royals 
Mumbai Indians , Rajasthan Royals,"Eden Gardens, Kolkata",Mumbai Indians 
Chennai Super Kings , Mumbai Indians,"Eden Gardens, Kolkata",Mumbai Indians 
